LJ001-0021|Słyszałem jeszcze na dole jakieś szamotanie się i kilka przekleństw, wyrzeczonych po francusku.|Słyszałem jeszcze na dole jakieś szamotanie się i kilka przekleństw, wyrzeczonych po francusku.
LJ001-0022|Widok był potężny i często wstaje w mych wspomnieniach.|Widok był potężny i często wstaje w mych wspomnieniach.
LJ001-0023|Czy duchy ich wyszły z ciała i mogły się porozumiewać z sobą.|Czy duchy ich wyszły z ciała i mogły się porozumiewać z sobą.
LJ001-0024|Z czasem przywykł do tego i przestał się tą rzeczą denerwować.|Z czasem przywykł do tego i przestał się tą rzeczą denerwować.
LJ001-0025|Podałem mu ją.|Podałem mu ją.
LJ001-0026|O czym piszesz?|O czym piszesz?
LJ001-0027|I waszych Szkotów spotykałem kilkakrotnie przy robocie!|I waszych Szkotów spotykałem kilkakrotnie przy robocie!
LJ001-0028|Pozwoli pan, że mu w cztery oczy rzeknę małe słówko.|Pozwoli pan, że mu w cztery oczy rzeknę małe słówko.
LJ001-0029|Naturalnie, przezywają go za oczami...|Naturalnie, przezywają go za oczami...
LJ001-0030|Morduj się, zanim się wygrzebiesz!|Morduj się, zanim się wygrzebiesz!
LJ001-0031|Ale trzeba się spieszyć, prawnicy bowiem żądają wyników pracy mojej przed rozpoczęciem procesu.|Ale trzeba się spieszyć, prawnicy bowiem żądają wyników pracy mojej przed rozpoczęciem procesu.
LJ001-0032|Nie mógłbyś przestać płakać?|Nie mógłbyś przestać płakać?
LJ001-0033|Połączyłem się z towarzyszem i razem wyszliśmy przed bramę.|Połączyłem się z towarzyszem i razem wyszliśmy przed bramę.
LJ001-0034|Co się tam, do cholery, dzieje?|Co się tam, do cholery, dzieje?
LJ001-0035|Poszedłem za nim, nie mówiąc ani słowa.|Poszedłem za nim, nie mówiąc ani słowa.
LJ001-0036|Bo on przecież żeniąc się z moją siostrą, miał wejść do naszej rodziny.|Bo on przecież żeniąc się z moją siostrą, miał wejść do naszej rodziny.
LJ001-0037|Stał tuż przy baszcie, szczelnie przyciśnięty do szarego muru i poruszał gorączkowo ręką.|Stał tuż przy baszcie, szczelnie przyciśnięty do szarego muru i poruszał gorączkowo ręką.
LJ001-0038|Ilu postawilibyście ludzi?|Ilu postawilibyście ludzi?
LJ001-0039|Co tchu kopnęliśmy się na dół i jęliśmy gorączkowo formować szeregi.|Co tchu kopnęliśmy się na dół i jęliśmy gorączkowo formować szeregi.
LJ001-0040|Co chcesz przez to powiedzieć?|Co chcesz przez to powiedzieć?
LJ001-0041|Ten wymarły Londyn działa mi na nerwy.|Ten wymarły Londyn działa mi na nerwy.
LJ001-0042|Jego zachowanie się świadczyło o ostrożności i podejrzeniu.|Jego zachowanie się świadczyło o ostrożności i podejrzeniu.
LJ001-0043|Wróćmy jednak do rzeczy.|Wróćmy jednak do rzeczy.
LJ001-0044|Wielkie, pełne kłosy zaczynały właśnie żółknąć, przepyszne żyta sięgały ramienia średniego wzrostu mężczyzny.|Wielkie, pełne kłosy zaczynały właśnie żółknąć, przepyszne żyta sięgały ramienia średniego wzrostu mężczyzny.
LJ001-0045|Nie, to niedorzeczność.|Nie, to niedorzeczność.
LJ001-0046|Aż dotąd byłem wzorem oficera dla każdego.|Aż dotąd byłem wzorem oficera dla każdego.
LJ001-0047|Minęło jeszcze kilka sekund i zaczerniały ramiona, tułów, wreszcie kolana obcego człowieka.|Minęło jeszcze kilka sekund i zaczerniały ramiona, tułów, wreszcie kolana obcego człowieka.
LJ001-0048|Takiego oblężenia jeszcze nie było w świecie!|Takiego oblężenia jeszcze nie było w świecie!
LJ001-0049|Mierzył z uwagą, i rozglądał się po każdym strzale, wybierał samych starszych, oficerów...|Mierzył z uwagą, i rozglądał się po każdym strzale, wybierał samych starszych, oficerów...
LJ001-0050|Zaczął padać deszcz drobny, przenikliwy, chłodny.|Zaczął padać deszcz drobny, przenikliwy, chłodny.
LJ001-0051|Przecież przejścia tych ostatnich dni powinny były czegoś cię nauczyć.|Przecież przejścia tych ostatnich dni powinny były czegoś cię nauczyć.
LJ001-0052|Więc trzeba ich szanować i czcią otaczać, póki żyją, modlić się do zmarłych.|Więc trzeba ich szanować i czcią otaczać, póki żyją, modlić się do zmarłych.
LJ001-0053|Zerwawszy się na równe nogi, ujrzałem na progu jakiegoś człowieka we wschodniem ubraniu.|Zerwawszy się na równe nogi, ujrzałem na progu jakiegoś człowieka we wschodniem ubraniu.
LJ001-0054|Ale to była tylko chwilowa przerwa w grozie srożącej się burzy.|Ale to była tylko chwilowa przerwa w grozie srożącej się burzy.
LJ001-0055|Nie było widać nikogo.|Nie było widać nikogo.
LJ001-0056|Wkrótce jednak, dzięki łaskawemu prawu Natury, zmęczone nerwy przestały reagować.|Wkrótce jednak, dzięki łaskawemu prawu Natury, zmęczone nerwy przestały reagować.
LJ001-0057|Ci nie mogą przejść obojętnie koło przystojnej kobiety.|Ci nie mogą przejść obojętnie koło przystojnej kobiety.
LJ001-0058|Tuż pod nami czerniły się wierzchołki, stojących długim sznurem, nieruchomych automobili.|Tuż pod nami czerniły się wierzchołki, stojących długim sznurem, nieruchomych automobili.
LJ001-0059|Inne, niewyraźne postacie ruszają się i gestykulują gwałtownie.|Inne, niewyraźne postacie ruszają się i gestykulują gwałtownie.
LJ001-0060|Przesunąłem ją przez otwór, i pomogłem jej doprowadzić znowu deski do porządku.|Przesunąłem ją przez otwór, i pomogłem jej doprowadzić znowu deski do porządku.
LJ001-0061|To zdarzenie pozostawiło niemiłe wspomnienie w umyśle młodego medyka.|To zdarzenie pozostawiło niemiłe wspomnienie w umyśle młodego medyka.
LJ001-0062|Nieokreślone, fantastyczne podejrzenie ukształtowało się nagle jako coś prawie pewnego i groźnego.|Nieokreślone, fantastyczne podejrzenie ukształtowało się nagle jako coś prawie pewnego i groźnego.
LJ001-0063|Nasze dusze nie znajdują się w swych właściwych ciałach.|Nasze dusze nie znajdują się w swych właściwych ciałach.
LJ001-0064|Miałem dwa podobne, jeden ofiarowałem niegdyś pewnej młodziutkiej Litwince.|Miałem dwa podobne, jeden ofiarowałem niegdyś pewnej młodziutkiej Litwince.
LJ001-0065|Po kilkunastu minutach, stanęliśmy nad złowrogą przepaścią.|Po kilkunastu minutach, stanęliśmy nad złowrogą przepaścią.
LJ001-0066|Amerykanin uśmiechnął się.|Amerykanin uśmiechnął się.
LJ001-0067|Towarzysze moi spojrzeli na mnie ze zdumieniem; zakryłem twarz dłońmi.|Towarzysze moi spojrzeli na mnie ze zdumieniem; zakryłem twarz dłońmi.
LJ001-0068|Nasze trudy dobiegły oto do ostatecznego końca.|Nasze trudy dobiegły oto do ostatecznego końca.
LJ001-0069|Jak tutaj nic się nie zmieniło!|Jak tutaj nic się nie zmieniło!
LJ001-0070|Była to wąska, pusta uliczka.|Była to wąska, pusta uliczka.
LJ001-0071|Oczy jego upadły na lancę porzuconą przy zwłokach jakiegoś Francuza.|Oczy jego upadły na lancę porzuconą przy zwłokach jakiegoś Francuza.
LJ001-0072|Cicho stanąłem opodal.|Cicho stanąłem opodal.
LJ001-0073|Unikałem towarzyszy, żadnej z gier nie umiałem oddać się z dawnym zapałem.|Unikałem towarzyszy, żadnej z gier nie umiałem oddać się z dawnym zapałem.
LJ001-0074|Jak myślisz, Jerzy, czy nie powinniśmy się modlić?|Jak myślisz, Jerzy, czy nie powinniśmy się modlić?
LJ001-0075|Przyłącz się do nas!|Przyłącz się do nas!
LJ001-0076|Garstka szaleńców na wymarłym świecie?|Garstka szaleńców na wymarłym świecie?
LJ001-0077|Wkrótce przekonaliśmy się, że węch naszego przewodnika nie zawiódł nas.|Wkrótce przekonaliśmy się, że węch naszego przewodnika nie zawiódł nas.
LJ001-0078|Kolano pewnie ma się lepiej, myślę, że wkrótce wrócisz pan do ukochanego pułku?|Kolano pewnie ma się lepiej, myślę, że wkrótce wrócisz pan do ukochanego pułku?
LJ001-0079|Wybiła moja ostatnia godzina.|Wybiła moja ostatnia godzina.
LJ001-0080|Wziąłbym także twoje kości ucha, jeżeli ich sam nie będziesz potrzebował.|Wziąłbym także twoje kości ucha, jeżeli ich sam nie będziesz potrzebował.
LJ001-0081|Jakoś wkrótce po jej przyjeździe, spotkałem starego, wychodzącego z naszego folwarku.|Jakoś wkrótce po jej przyjeździe, spotkałem starego, wychodzącego z naszego folwarku.
LJ001-0082|I piętnaście lat później jestem największym umysłem dwudziestego pierwszego wieku.|I piętnaście lat później jestem największym umysłem dwudziestego pierwszego wieku.
LJ001-0083|Słowa moje zrozumiecie lepiej, zanim niewiele jeszcze dni upłynie.|Słowa moje zrozumiecie lepiej, zanim niewiele jeszcze dni upłynie.
LJ001-0084|Tylko po moim trupie mogli się dostać do niej.|Tylko po moim trupie mogli się dostać do niej.
LJ001-0085|Oto wyrok, który usłyszałem z miejsca.|Oto wyrok, który usłyszałem z miejsca.
LJ001-0086|Gdy tak mówiłem, podniosłem rękę do góry i wskazałem przed siebie.|Gdy tak mówiłem, podniosłem rękę do góry i wskazałem przed siebie.
LJ001-0087|Podczas tej sprawy z obrazami spotkałem ją po raz pierwszy.|Podczas tej sprawy z obrazami spotkałem ją po raz pierwszy.
LJ001-0088|Szukała mnie, gdy odbiegłem, wyszperała w najdoskonalszej kryjówce, wykrzykiwała wtedy z radością: „Ach!|Szukała mnie, gdy odbiegłem, wyszperała w najdoskonalszej kryjówce, wykrzykiwała wtedy z radością: „Ach!
LJ001-0089|Po twarzach obu mężczyzn ściekał pot.|Po twarzach obu mężczyzn ściekał pot.
LJ001-0090|Nie oderwę się od pracy i czekać będę na to uspokojenie.|Nie oderwę się od pracy i czekać będę na to uspokojenie.
LJ001-0091|Willa ta oddaloną była o kilkadziesiąt metrów od wybrzeża rzeki.|Willa ta oddaloną była o kilkadziesiąt metrów od wybrzeża rzeki.
LJ001-0092|Tu poza barykadą znajdowała się nasza straż przednia.|Tu poza barykadą znajdowała się nasza straż przednia.
LJ001-0093|To coś znaczy, moi panowie!|To coś znaczy, moi panowie!
LJ001-0094|Idź stąd, pókiś cały!|Idź stąd, pókiś cały!
LJ001-0095|Stanowczo było to coś niezwykłego i natychmiast postanowiłem wyświetlić podejrzaną sprawę.|Stanowczo było to coś niezwykłego i natychmiast postanowiłem wyświetlić podejrzaną sprawę.
LJ001-0096|To też koniecznie trzeba mierzyć w głowę, albo w konia.|To też koniecznie trzeba mierzyć w głowę, albo w konia.
LJ001-0097|Pomysł pański jest świetny, milordzie, ja sam zawiozę was wszystkich do Londynu.|Pomysł pański jest świetny, milordzie, ja sam zawiozę was wszystkich do Londynu.
LJ001-0098|Nie dałem żadnej odpowiedzi.|Nie dałem żadnej odpowiedzi.
LJ001-0099|Byłem przygotowany na zwalenie całego gmachu, zanimby jej dotknęli.|Byłem przygotowany na zwalenie całego gmachu, zanimby jej dotknęli.
LJ001-0100|Niech pan to przeczyta.|Niech pan to przeczyta.
LJ001-0101|Nie słyszałem nic, ale wiedziałem, że krzyczy.|Nie słyszałem nic, ale wiedziałem, że krzyczy.
LJ001-0102|Czas, jaki nam pozostaje do życia, możemy obliczyć co do minuty.|Czas, jaki nam pozostaje do życia, możemy obliczyć co do minuty.
LJ001-0103|Nie znaczy to bynajmniej, że chirurg się mylił. Całe życie operował wątłe ludzkie istoty|Nie znaczy to bynajmniej, że chirurg się mylił. Całe życie operował wątłe ludzkie istoty
LJ001-0104|Niezrozumiała twoja mowa, bracie.|Niezrozumiała twoja mowa, bracie.
LJ001-0105|Czy maślanka jest lepsza od kefiru?|Czy maślanka jest lepsza od kefiru?
LJ001-0106|Śliwa nad stawem wyglądała jak kleks atramentowy na takimże tle.|Śliwa nad stawem wyglądała jak kleks atramentowy na takimże tle.
LJ001-0107|Głupstwo, mój drogi.|Głupstwo, mój drogi.
LJ001-0108|Przecież mi obiecałaś…|Przecież mi obiecałaś…
LJ001-0109|Henry zaśmiał się zuchwale.|Henry zaśmiał się zuchwale.
LJ001-0110|Ucho prezesa. To było dosyć śmieszne.|Ucho prezesa. To było dosyć śmieszne.
LJ001-0111|Te luki to błędy i omyłki ludzkie.|Te luki to błędy i omyłki ludzkie.
LJ001-0112|Niektórzy chodzili niespokojnie między pakunkami.|Niektórzy chodzili niespokojnie między pakunkami.
LJ001-0113|Bardzo mu dobrze w tej narożnej kamienicy w rynku.|Bardzo mu dobrze w tej narożnej kamienicy w rynku.
LJ001-0114|Za to uczeni w piśmie, penis - określają.|Za to uczeni w piśmie, penis - określają.
LJ001-0115|Ty jesteś nerwowy.|Ty jesteś nerwowy.
LJ001-0116|Od chwili, gdy ich ślubna przywiozła kareta|Od chwili, gdy ich ślubna przywiozła kareta
LJ001-0117|Daj Bóg pogodę, przed zachodem słońca staniemy na miejscu.|Daj Bóg pogodę, przed zachodem słońca staniemy na miejscu.
LJ001-0118|Staś zatrzymał sie w jednej chwili, gdyż istotnie za pelikanami było widać purpurowe kwiaty.|Staś zatrzymał sie w jednej chwili, gdyż istotnie za pelikanami było widać purpurowe kwiaty.
LJ001-0119|Posłyszała pierwsze głosy ptaków w gęstwie bambusu otaczającej odległe domy.|Posłyszała pierwsze głosy ptaków w gęstwie bambusu otaczającej odległe domy.
LJ001-0120|Rząd egipski nie zabrał tam nikomu wolności - rzekł.|Rząd egipski nie zabrał tam nikomu wolności - rzekł.
LJ001-0121|Po jajach się pogłaskał, spojrzał na żoneczkę:|Po jajach się pogłaskał, spojrzał na żoneczkę:
LJ001-0122|Pragnęłabyś, aby wszystko tutaj w młynie pozostało po dawnemu, prawda, Lizo?|Pragnęłabyś, aby wszystko tutaj w młynie pozostało po dawnemu, prawda, Lizo?
LJ001-0123|Jezus Nazareński chodził po falach.|Jezus Nazareński chodził po falach.
LJ001-0124|Jeśli w Dawson otworzysz buzię, każę cię wyrzucić z miasta. Zrozumiane?|Jeśli w Dawson otworzysz buzię, każę cię wyrzucić z miasta. Zrozumiane?
LJ001-0125|Kobieta nie musi się długo uczyć tych rzeczy.|Kobieta nie musi się długo uczyć tych rzeczy.
LJ001-0126|Od powiedziała bardzo wolno, jąkając się: — Widzisz, ty.|Od powiedziała bardzo wolno, jąkając się: — Widzisz, ty.
LJ001-0127|Nnie dostaniesz kawy - oświadczył Henry.|Nnie dostaniesz kawy - oświadczył Henry.
LJ001-0128|Podał jej ostudzoną, bez cukru, albowiem słodycze zwiększają pragnienie.|Podał jej ostudzoną, bez cukru, albowiem słodycze zwiększają pragnienie.
LJ001-0129|I na dowód tej przyjaźni Biały Kieł weźmie żywy udział w pogrzebie roześmiał się|I na dowód tej przyjaźni Biały Kieł weźmie żywy udział w pogrzebie roześmiał się
LJ001-0130|Wysoki młodzieniec trzymał kobietę w ramionach swoich.|Wysoki młodzieniec trzymał kobietę w ramionach swoich.
LJ001-0131|Odzyskałem tymczasem już moją zwykłą odwagę.|Odzyskałem tymczasem już moją zwykłą odwagę.
LJ001-0132|Jakżebym chciał tego!|Jakżebym chciał tego!
LJ001-0133|W takim razie nie zważajcie na to, com mógł mówić!|W takim razie nie zważajcie na to, com mógł mówić!
LJ001-0134|Po długiej podróży zauważyłem nareszcie, iż przybiliśmy do lądu.|Po długiej podróży zauważyłem nareszcie, iż przybiliśmy do lądu.
LJ001-0135|Usłyszałem i ja jakieś zmieszane głosy przed oknami.|Usłyszałem i ja jakieś zmieszane głosy przed oknami.
LJ001-0136|Więc prawdopodobnie zamieszka w Paryżu.|Więc prawdopodobnie zamieszka w Paryżu.
LJ001-0137|Czemuż ten sam proces nie miałby się powtórzyć po raz drugi?|Czemuż ten sam proces nie miałby się powtórzyć po raz drugi?
LJ001-0138|Sprowokowali mnie do tego, gdyż chcieli sobie ze mnie zażartować!|Sprowokowali mnie do tego, gdyż chcieli sobie ze mnie zażartować!
LJ001-0139|Praca moja dobiega końca.|Praca moja dobiega końca.
LJ001-0140|Sierżant zaczął śmiać się wreszcie z naszego zachwytu.|Sierżant zaczął śmiać się wreszcie z naszego zachwytu.
LJ001-0141|Tylko oczy zarysowywały się całkiem dobitnie.|Tylko oczy zarysowywały się całkiem dobitnie.
LJ001-0142|Ale nie koniec na szczęście!|Ale nie koniec na szczęście!
LJ001-0143|w takim razie niech się twe życzenie spełni.|w takim razie niech się twe życzenie spełni.
LJ001-0144|Tutaj poznałem go natychmiast.|Tutaj poznałem go natychmiast.
LJ001-0145|Liczby, zestawione przeze mnie, znajdują się w rękach adwokata.|Liczby, zestawione przeze mnie, znajdują się w rękach adwokata.
LJ001-0146|Na karku czułem jego gorący oddech.|Na karku czułem jego gorący oddech.
LJ001-0147|Istotnie opanowałem się, czułem, że potrafię rozpoznać i powściągnąć chorobliwe odruchy.|Istotnie opanowałem się, czułem, że potrafię rozpoznać i powściągnąć chorobliwe odruchy.
LJ001-0148|Ściągnęła brwi mocno, lecz nie odpowiedziała ani słowa.|Ściągnęła brwi mocno, lecz nie odpowiedziała ani słowa.
LJ001-0149|Ochłonąwszy trochę, unieśliśmy zemdlonego i położyli wygodnie na ziemi.|Ochłonąwszy trochę, unieśliśmy zemdlonego i położyli wygodnie na ziemi.
LJ001-0150|Wolne żarty, drogi panie!— zaprzeczył nieznajomy z uśmiechem.|Wolne żarty, drogi panie!— zaprzeczył nieznajomy z uśmiechem.
LJ001-0151|Chcę, aby pan poświadczył.|Chcę, aby pan poświadczył.
LJ001-0152|Rozbiorę biedaka tymczasem!|Rozbiorę biedaka tymczasem!
LJ001-0153|Nagle w ciemnościach zabłysło światło; reflektor sygnału morskiego zalał jasnem światłem całą zatokę.|Nagle w ciemnościach zabłysło światło; reflektor sygnału morskiego zalał jasnem światłem całą zatokę.
LJ001-0154|Przestałem i zacząłem nadsłuchiwać.|Przestałem i zacząłem nadsłuchiwać.
LJ001-0155|Wziął kapelusz i szybko wyszedł z pokoju.|Wziął kapelusz i szybko wyszedł z pokoju.
LJ001-0156|Człowiek ten pochował trzy żony i uczestniczył w dwunastu walnych bitwach.|Człowiek ten pochował trzy żony i uczestniczył w dwunastu walnych bitwach.
LJ001-0157|Za pozwoleniem waszem, zacni panowie, przystąpimy do zapowiedzianego doświadczenia.|Za pozwoleniem waszem, zacni panowie, przystąpimy do zapowiedzianego doświadczenia.
LJ001-0158|Ale mniejsza o to.|Ale mniejsza o to.
LJ001-0159|Minuty za minutami upływały długie, niby wieki.|Minuty za minutami upływały długie, niby wieki.
LJ001-0160|więc to dlatego pan zachowywał się tak dziwnie w sygnałowej wieży!|więc to dlatego pan zachowywał się tak dziwnie w sygnałowej wieży!
LJ001-0161|W każdym razie należało przypuszczać, iż wtargnie tędy, gdzie będziemy się najmniej spodziewać.|W każdym razie należało przypuszczać, iż wtargnie tędy, gdzie będziemy się najmniej spodziewać.
LJ001-0162|I tak uczyniłem.|I tak uczyniłem.
LJ001-0163|Podniosłem do góry habit i wdrapałem się na drzewo.|Podniosłem do góry habit i wdrapałem się na drzewo.
LJ001-0164|Nie powstanę z krzesła, dopóki nie skończę ostatniej księgi, nie zestawię liczb ostatnich.|Nie powstanę z krzesła, dopóki nie skończę ostatniej księgi, nie zestawię liczb ostatnich.
